instance_id,timestamp,cpu,memory,gpu_utilization,gpu_memory_utilization,gpu_encoder_session_count,network_in,network_out,network_packets_in,network_packets_out,disk_read_ops,disk_write_ops,disk_read_bytes,disk_write_bytes,volume_read_bytes,volume_write_bytes,volume_read_ops,volume_write_ops
i-0abcd123,2026-03-01T03:00:00+00:00,34.39,38.13,3.87,1.74,0,159294,123728,419,340,94,163,38041,45916,69590,15536,116,247
i-0abcd123,2026-03-01T03:05:00+00:00,42.9,46.25,4.88,0.75,1,120797,164963,368,352,146,129,31144,38290,68228,72957,424,362
i-0abcd123,2026-03-01T03:10:00+00:00,29.46,42.96,2.12,2.76,0,192477,151171,494,120,182,156,34322,26997,56744,46634,487,146
i-0abcd123,2026-03-01T03:15:00+00:00,17.32,44.25,3.04,3.14,0,141830,119105,385,147,179,67,31633,11784,51064,50891,347,180
i-0abcd123,2026-03-01T03:20:00+00:00,28.78,45.75,1.04,1.71,1,145308,111782,243,397,85,91,38017,5682,98031,68148,273,219
i-0abcd123,2026-03-01T03:25:00+00:00,26.95,49.26,4.07,4.56,0,177555,171160,141,383,131,155,23819,31912,37750,46192,252,419
i-0abcd123,2026-03-01T03:30:00+00:00,32.8,51.86,2.47,0.4,0,107899,131577,271,251,97,149,47367,12173,98745,54973,206,221
i-0abcd123,2026-03-01T03:35:00+00:00,39.59,37.27,0.83,3.52,1,162899,153642,306,289,93,86,9463,34007,38427,78558,439,130
i-0abcd123,2026-03-01T03:40:00+00:00,39.34,39.89,1.83,1.14,0,106080,148544,471,228,143,138,9261,12481,29471,21743,301,434
i-0abcd123,2026-03-01T03:45:00+00:00,38.54,48.3,4.05,3.57,1,173635,74510,160,226,123,83,19458,14091,12317,35498,483,113
i-0abcd123,2026-03-01T03:50:00+00:00,40.43,63.81,4.48,2.43,0,102984,100613,500,243,158,85,36606,18253,81276,25869,444,402
i-0abcd123,2026-03-01T03:55:00+00:00,16.88,59.31,1.43,0.72,0,175122,76248,269,261,129,151,38717,20079,86234,83527,240,219
i-0abcd123,2026-03-01T04:00:00+00:00,35.49,61.78,0.03,4.11,0,171393,126110,484,196,149,126,14027,21527,30459,28973,350,300
i-0abcd123,2026-03-01T04:05:00+00:00,31.5,58.98,2.35,4.63,1,83913,161429,394,301,129,108,42820,45280,47168,89702,237,359
i-0abcd123,2026-03-01T04:10:00+00:00,21.84,41.74,2.33,4.69,0,80472,158287,136,363,191,70,13709,12424,39692,33782,265,473
i-0abcd123,2026-03-01T04:15:00+00:00,26.33,49.27,4.85,0.01,1,96887,141318,217,401,95,126,8429,8952,99584,78029,309,180
i-0abcd123,2026-03-01T04:20:00+00:00,27.97,50.82,3.35,1.37,0,143250,143486,406,316,106,87,42842,37847,57724,46644,489,416
i-0abcd123,2026-03-01T04:25:00+00:00,15.29,33.96,1.28,4.61,1,197098,113965,53,99,96,143,28353,47087,48155,68914,340,213
i-0abcd123,2026-03-01T04:30:00+00:00,28.78,35.62,1.23,1.73,1,151707,161654,417,424,90,69,31139,14503,62788,62312,175,180
i-0abcd123,2026-03-01T04:35:00+00:00,18.09,56.01,3.86,3.56,0,92422,118599,279,438,166,110,19119,25247,70258,74165,195,119
i-0abcd123,2026-03-01T04:40:00+00:00,29.77,48.95,0.63,2.51,0,96864,168639,275,224,178,121,37920,22903,86191,15232,167,393
i-0abcd123,2026-03-01T04:45:00+00:00,27.54,35.4,0.18,4.26,0,181565,127600,456,396,166,139,23081,48229,88860,26264,123,302
i-0abcd123,2026-03-01T04:50:00+00:00,35.47,32.61,2.32,1.62,0,115965,86597,380,105,100,161,39778,24689,91686,58574,141,199
i-0abcd123,2026-03-01T04:55:00+00:00,42.21,38.86,1.56,2.9,0,140405,92332,358,351,193,66,43497,46010,41017,34617,285,320
i-0abcd123,2026-03-01T05:00:00+00:00,30.05,35.0,2.48,1.5,0,102198,170158,151,326,179,175,24695,5660,85358,38806,375,440
i-0abcd123,2026-03-01T05:05:00+00:00,26.43,30.82,0.25,3.4,1,106846,177997,292,234,142,140,44168,22312,21645,74466,259,274
i-0abcd123,2026-03-01T05:10:00+00:00,23.4,48.04,0.8,1.47,0,141507,88252,212,266,187,173,17135,9007,11639,91353,425,173
i-0abcd123,2026-03-01T05:15:00+00:00,31.32,60.87,2.07,0.33,0,181293,121260,62,451,139,100,45198,43554,97994,11277,156,410
i-0abcd123,2026-03-01T05:20:00+00:00,40.7,40.69,4.42,2.61,0,135574,158323,160,274,97,102,8660,41639,11881,68457,241,189
i-0abcd123,2026-03-01T05:25:00+00:00,32.77,50.37,2.08,3.78,0,102370,89837,181,450,183,164,26977,7741,38968,68993,340,220
i-0abcd123,2026-03-01T05:30:00+00:00,24.82,49.72,3.14,3.52,1,185665,70202,212,234,147,91,10055,38619,70577,15670,404,168
i-0abcd123,2026-03-01T05:35:00+00:00,33.41,33.79,2.28,2.81,0,198701,107288,88,303,80,110,17415,42000,40770,61147,423,301
i-0abcd123,2026-03-01T05:40:00+00:00,35.48,48.92,2.74,3.01,0,162539,171861,483,480,188,145,23286,41172,33440,30176,245,158
i-0abcd123,2026-03-01T05:45:00+00:00,15.59,61.8,3.44,3.16,0,118785,144517,480,279,159,68,10687,6253,27658,64164,378,196
i-0abcd123,2026-03-01T05:50:00+00:00,38.78,48.74,4.14,2.69,1,89192,131344,436,191,109,102,23334,49177,92896,43943,146,499
i-0abcd123,2026-03-01T05:55:00+00:00,32.94,48.04,4.31,4.15,0,114000,162721,344,382,134,121,32185,49453,69006,93931,435,192
i-0abcd123,2026-03-01T06:00:00+00:00,17.59,60.66,1.88,3.99,0,169336,177642,278,377,118,164,17333,24701,39985,21995,214,392
i-0abcd123,2026-03-01T06:05:00+00:00,19.77,49.43,1.79,0.78,0,140813,95692,490,341,166,152,13718,41631,53059,84812,274,410
i-0abcd123,2026-03-01T06:10:00+00:00,24.81,57.06,0.53,3.93,1,126924,154121,273,407,134,122,14457,15964,68278,72868,414,445
i-0abcd123,2026-03-01T06:15:00+00:00,43.43,41.93,1.98,1.45,0,92378,143888,356,442,188,155,21311,34061,58474,95978,478,281
i-0abcd123,2026-03-01T06:20:00+00:00,38.15,53.8,4.66,1.59,1,144908,136498,465,253,131,91,17602,26434,86550,78396,117,366
i-0abcd123,2026-03-01T06:25:00+00:00,43.17,42.58,1.03,1.99,1,103169,169718,379,401,135,135,29968,35210,57232,12614,178,135
i-0abcd123,2026-03-01T06:30:00+00:00,27.86,59.24,1.77,0.46,1,99104,94924,452,333,97,96,18557,47524,92365,46655,122,267
i-0abcd123,2026-03-01T06:35:00+00:00,42.85,64.81,2.16,2.51,1,115313,93026,130,130,90,152,10555,37093,69553,47556,379,433
i-0abcd123,2026-03-01T06:40:00+00:00,24.23,64.95,4.87,0.35,1,99459,137090,107,292,100,108,40244,28382,29789,42964,426,420
i-0abcd123,2026-03-01T06:45:00+00:00,34.27,59.06,1.85,4.86,0,99378,139714,171,99,192,104,6927,24360,23907,66228,369,217
i-0abcd123,2026-03-01T06:50:00+00:00,37.05,63.63,1.16,4.57,0,177340,134657,216,297,166,118,38914,19471,27691,60130,404,218
i-0abcd123,2026-03-01T06:55:00+00:00,20.78,62.01,1.94,0.65,0,166016,145459,280,406,154,107,24682,21489,14493,72285,465,498
i-0abcd123,2026-03-01T07:00:00+00:00,41.42,38.13,1.45,4.06,0,100451,119352,443,272,121,74,13944,44003,72388,20861,263,307
i-0abcd123,2026-03-01T07:05:00+00:00,23.24,58.95,4.1,3.59,0,186420,77289,64,499,170,96,35686,44113,29702,70283,230,272
i-0abcd123,2026-03-01T07:10:00+00:00,44.07,47.09,2.17,4.74,1,158857,106356,455,239,180,116,23147,35966,48033,38690,409,494
i-0abcd123,2026-03-01T07:15:00+00:00,33.4,58.15,2.47,0.81,0,186281,148499,442,213,150,104,46037,14348,37074,83877,228,144
i-0abcd123,2026-03-01T07:20:00+00:00,20.3,52.35,1.16,4.46,1,161033,138977,426,116,118,161,19636,36777,68319,88257,136,405
i-0abcd123,2026-03-01T07:25:00+00:00,23.4,36.89,3.32,1.07,1,82728,128824,257,326,181,133,10685,36616,68725,15183,292,309
i-0abcd123,2026-03-01T07:30:00+00:00,22.1,64.84,0.57,2.0,0,181748,176012,138,259,94,146,23960,35950,55551,16214,387,255
i-0abcd123,2026-03-01T07:35:00+00:00,16.53,39.64,1.67,0.29,1,121319,170293,286,360,113,86,24974,15241,82024,59264,202,332
i-0abcd123,2026-03-01T07:40:00+00:00,28.86,43.47,2.44,4.56,1,145705,79237,136,62,195,91,34626,22710,54684,43589,126,250
i-0abcd123,2026-03-01T07:45:00+00:00,15.81,48.07,1.17,2.3,0,133615,83926,252,176,94,100,24346,34061,67294,51754,314,321
i-0abcd123,2026-03-01T07:50:00+00:00,30.91,51.32,3.66,2.61,1,178866,155172,70,207,194,65,25777,18158,70953,59874,216,175
i-0abcd123,2026-03-01T07:55:00+00:00,20.65,48.45,1.37,4.3,0,99955,161799,131,385,159,162,20899,45853,43323,69300,355,403
i-0abcd123,2026-03-01T08:00:00+00:00,34.09,57.49,0.64,2.87,0,174106,118934,251,137,100,82,30376,35676,81490,44007,192,454
i-0abcd123,2026-03-01T08:05:00+00:00,22.17,51.29,2.85,2.67,0,95887,162451,377,222,98,139,30553,24297,60656,34304,107,358
i-0abcd123,2026-03-01T08:10:00+00:00,25.17,59.74,3.32,4.91,0,149790,174481,487,259,196,161,7495,30208,88530,90818,241,204
i-0abcd123,2026-03-01T08:15:00+00:00,28.08,56.6,1.12,3.41,1,121041,146020,459,114,182,149,33283,11162,60448,63064,123,118
i-0abcd123,2026-03-01T08:20:00+00:00,37.93,59.86,0.36,4.29,1,127504,77341,97,93,89,96,44000,41752,11821,82724,496,280
i-0abcd123,2026-03-01T08:25:00+00:00,40.44,32.73,2.14,2.55,0,194564,106776,134,301,135,180,15989,35677,22313,85073,403,294
i-0abcd123,2026-03-01T08:30:00+00:00,16.24,60.18,0.31,2.99,1,142910,139355,170,98,126,169,13836,7710,78296,52355,393,434
i-0abcd123,2026-03-01T08:35:00+00:00,25.99,63.8,2.7,1.29,0,154525,118242,322,138,172,155,30965,48719,35829,37029,383,435
i-0abcd123,2026-03-01T08:40:00+00:00,18.93,62.95,4.59,3.78,1,165805,173097,373,425,115,81,48152,43104,66708,92112,399,361
i-0abcd123,2026-03-01T08:45:00+00:00,25.51,47.44,3.01,0.17,0,128977,154683,245,157,187,60,21340,33018,12048,63542,457,300
i-0abcd123,2026-03-01T08:50:00+00:00,30.37,37.68,2.04,1.95,0,100126,156614,192,193,154,152,19479,39360,61074,78535,353,126
i-0abcd123,2026-03-01T08:55:00+00:00,33.06,45.36,2.23,1.09,0,89913,99509,58,283,140,148,45898,32598,55068,41886,260,118
i-0abcd123,2026-03-01T09:00:00+00:00,28.86,59.59,3.2,0.99,0,84708,88047,404,220,133,143,11182,19343,77100,17269,136,226
i-0abcd123,2026-03-01T09:05:00+00:00,31.61,64.32,0.95,1.87,0,103490,156869,423,232,127,166,43490,22949,82445,40781,120,177
i-0abcd123,2026-03-01T09:10:00+00:00,15.32,36.97,3.73,1.29,1,178960,80719,410,141,195,153,41718,31988,55584,84839,488,433
i-0abcd123,2026-03-01T09:15:00+00:00,30.62,52.69,0.87,1.08,0,130693,97703,467,171,196,109,13913,32378,28611,14115,362,278
i-0abcd123,2026-03-01T09:20:00+00:00,21.58,42.74,0.29,3.74,1,173742,120611,201,479,168,139,25659,36362,17217,76437,254,370
i-0abcd123,2026-03-01T09:25:00+00:00,24.44,54.44,3.16,0.41,0,109208,142363,201,315,185,75,17144,15531,86469,79272,225,296
i-0abcd123,2026-03-01T09:30:00+00:00,41.08,55.13,3.1,3.79,1,132352,106801,308,493,136,136,21836,25141,50168,75269,239,291
i-0abcd123,2026-03-01T09:35:00+00:00,41.72,31.93,2.4,4.74,1,133597,144352,314,100,198,75,7058,35985,52619,63334,222,430
i-0abcd123,2026-03-01T09:40:00+00:00,44.45,41.65,4.11,3.73,1,164415,141017,478,340,182,174,31945,21697,49414,87780,136,243
i-0abcd123,2026-03-01T09:45:00+00:00,22.61,60.47,0.86,2.21,1,186079,119748,480,271,113,68,7293,49147,88728,96602,468,104
i-0abcd123,2026-03-01T09:50:00+00:00,27.87,36.03,0.13,1.63,1,137901,139211,376,488,116,86,41761,43015,97851,11741,205,134
i-0abcd123,2026-03-01T09:55:00+00:00,22.79,34.71,4.94,3.18,0,191701,112268,335,137,110,144,46241,33200,22219,75590,378,143
i-0abcd123,2026-03-01T10:00:00+00:00,28.46,32.07,2.11,0.86,0,162982,141293,195,478,108,161,14296,24981,26165,68992,286,118
i-0abcd123,2026-03-01T10:05:00+00:00,40.18,46.5,3.04,2.56,1,110961,156876,361,97,118,116,31085,22728,30303,95712,443,229
i-0abcd123,2026-03-01T10:10:00+00:00,29.11,43.47,3.87,0.95,1,197622,74733,340,497,168,112,48260,21698,58988,31228,325,352
i-0abcd123,2026-03-01T10:15:00+00:00,17.58,60.08,0.55,1.96,0,93703,70761,193,162,161,80,30374,46106,53358,93239,481,115
i-0abcd123,2026-03-01T10:20:00+00:00,31.47,62.7,3.27,2.19,1,135678,107477,116,486,135,147,42814,31058,98919,59339,246,429
i-0abcd123,2026-03-01T10:25:00+00:00,34.6,59.31,1.73,4.75,1,110794,151012,126,182,94,108,5693,29557,13585,51351,403,385
i-0abcd123,2026-03-01T10:30:00+00:00,38.62,50.2,2.15,4.61,0,160280,123073,414,176,149,155,5354,46415,46178,56378,451,392
i-0abcd123,2026-03-01T10:35:00+00:00,43.61,39.22,2.43,4.85,0,144465,84116,56,412,165,89,14363,40969,67329,20948,487,268
i-0abcd123,2026-03-01T10:40:00+00:00,42.67,45.23,2.02,3.81,0,111645,126715,65,117,200,130,40642,13272,90310,79804,225,277
i-0abcd123,2026-03-01T10:45:00+00:00,26.78,36.95,2.84,4.02,0,93651,141180,363,145,137,171,6250,39150,94911,57283,265,415
i-0abcd123,2026-03-01T10:50:00+00:00,25.89,63.23,1.27,4.79,0,138327,103095,69,306,175,134,11486,26949,64219,27324,188,288
i-0abcd123,2026-03-01T10:55:00+00:00,24.29,40.47,4.01,3.6,0,143681,105704,338,68,189,146,44687,21977,32564,37954,470,304
i-0abcd123,2026-03-01T11:00:00+00:00,43.35,50.89,2.5,1.4,1,162944,117314,236,383,174,113,27019,36582,34412,58975,346,358
i-0abcd123,2026-03-01T11:05:00+00:00,34.75,35.98,0.52,0.24,1,177321,162843,69,221,117,107,21083,7815,13960,74192,132,383
i-0abcd123,2026-03-01T11:10:00+00:00,19.75,41.35,2.41,3.22,1,106184,142591,452,182,86,142,7970,17092,47082,74995,202,446
i-0abcd123,2026-03-01T11:15:00+00:00,39.36,58.24,0.19,3.54,1,155179,91503,227,117,89,144,45266,36202,13079,97895,213,183
i-0abcd123,2026-03-01T11:20:00+00:00,40.99,63.16,0.54,0.06,0,120970,89618,113,144,102,127,47664,19082,93991,36422,203,214
i-0abcd123,2026-03-01T11:25:00+00:00,39.72,31.42,2.12,4.03,0,156446,110370,347,204,113,60,14148,13451,15444,15658,260,279
i-0abcd123,2026-03-01T11:30:00+00:00,32.97,41.25,1.2,2.47,1,127105,103635,88,456,126,81,36803,13554,16287,48180,377,153
i-0abcd123,2026-03-01T11:35:00+00:00,38.28,51.1,1.81,3.47,0,103053,148898,368,274,162,84,30525,11373,34213,30763,323,113
i-0abcd123,2026-03-01T11:40:00+00:00,43.19,50.13,0.65,0.82,1,109017,105580,275,280,108,78,18523,40085,36195,90806,111,377
i-0abcd123,2026-03-01T11:45:00+00:00,36.88,62.62,3.11,2.41,0,121100,174843,189,59,126,138,21364,12055,82890,96128,315,143
i-0abcd123,2026-03-01T11:50:00+00:00,17.34,34.21,2.89,0.03,1,81488,96902,469,264,135,107,47549,43540,25184,60664,453,353
i-0abcd123,2026-03-01T11:55:00+00:00,18.09,31.49,4.36,4.7,0,103189,84826,321,330,131,140,40385,42997,21473,76424,145,447
i-0abcd123,2026-03-01T12:00:00+00:00,33.43,63.9,1.48,2.05,1,184047,126292,495,257,173,103,20198,10870,10257,62655,238,316
i-0abcd123,2026-03-01T12:05:00+00:00,41.97,62.14,1.38,1.89,1,197883,73189,344,55,180,95,11807,20105,41365,74757,347,215
i-0abcd123,2026-03-01T12:10:00+00:00,27.74,32.71,1.67,2.41,1,192683,137362,75,336,191,143,10113,35551,69100,24789,169,439
i-0abcd123,2026-03-01T12:15:00+00:00,36.24,47.84,0.98,2.01,0,146066,174911,151,57,137,123,38422,38468,74803,52694,303,144
i-0abcd123,2026-03-01T12:20:00+00:00,40.26,56.55,0.22,2.78,1,193739,152564,367,212,94,87,30098,14137,28271,90186,422,481
i-0abcd123,2026-03-01T12:25:00+00:00,25.86,50.47,4.24,4.15,0,125694,139791,332,60,95,63,15981,10044,79612,49640,128,224
i-0abcd123,2026-03-01T12:30:00+00:00,37.56,59.22,2.9,3.63,0,158031,164299,52,316,194,172,41245,34590,57844,94456,479,266
i-0abcd123,2026-03-01T12:35:00+00:00,42.29,59.13,4.39,4.78,0,193357,84760,275,346,126,60,32153,9838,62830,45737,455,431
i-0abcd123,2026-03-01T12:40:00+00:00,36.43,45.77,2.11,1.72,1,148911,138393,266,349,171,180,46602,46863,79034,74003,355,314
i-0abcd123,2026-03-01T12:45:00+00:00,25.29,62.86,1.34,1.37,0,186109,171962,312,61,132,111,48893,7460,49148,39737,448,235
i-0abcd123,2026-03-01T12:50:00+00:00,28.43,34.56,2.04,4.71,1,98794,91028,262,190,181,77,48082,21219,27896,63696,352,128
i-0abcd123,2026-03-01T12:55:00+00:00,40.91,46.18,4.76,1.26,1,143996,77534,357,492,166,169,35771,7723,70253,32385,107,496
i-0abcd123,2026-03-01T13:00:00+00:00,27.49,30.49,4.15,2.64,0,198766,123697,358,105,166,74,10154,33169,80290,96400,488,351
i-0abcd123,2026-03-01T13:05:00+00:00,32.32,55.12,1.59,1.08,1,151940,138845,242,61,195,95,40482,17428,68210,30408,235,275
i-0abcd123,2026-03-01T13:10:00+00:00,15.73,39.74,3.86,4.13,1,156615,107072,138,280,138,131,19881,14808,90303,12655,280,394
i-0abcd123,2026-03-01T13:15:00+00:00,30.63,50.34,3.86,2.67,0,96100,92794,365,450,81,144,39544,42126,79129,54153,178,111
i-0abcd123,2026-03-01T13:20:00+00:00,23.6,55.42,0.15,4.19,0,145283,146980,403,182,85,165,38995,15340,30568,62566,399,451
i-0abcd123,2026-03-01T13:25:00+00:00,18.02,47.0,2.75,2.47,0,185719,147218,433,296,182,116,18186,16302,85977,14639,436,459
i-0abcd123,2026-03-01T13:30:00+00:00,35.51,37.96,4.36,0.4,0,192606,173222,411,320,139,87,42458,41486,40728,34921,479,143
i-0abcd123,2026-03-01T13:35:00+00:00,20.64,61.32,4.16,3.59,0,138340,123891,66,263,158,131,33545,6226,53582,99361,181,408
i-0abcd123,2026-03-01T13:40:00+00:00,17.85,33.9,1.19,1.19,1,160924,134187,216,177,134,134,47567,21545,32503,16108,352,108
i-0abcd123,2026-03-01T13:45:00+00:00,22.01,52.62,2.77,2.28,1,166206,167670,469,96,115,133,19053,25273,39624,64619,264,166
i-0abcd123,2026-03-01T13:50:00+00:00,42.44,55.06,0.67,4.99,1,157925,132495,405,404,105,176,12315,8731,15555,55620,317,235
i-0abcd123,2026-03-01T13:55:00+00:00,33.0,64.35,4.41,0.26,0,117067,121251,320,202,192,136,30275,47470,46674,76298,351,314
i-0abcd123,2026-03-01T14:00:00+00:00,16.85,56.16,1.03,0.44,0,86981,106145,344,499,154,102,29474,44893,82560,23487,211,269
i-0abcd123,2026-03-01T14:05:00+00:00,22.91,32.88,4.64,1.97,1,137003,156257,205,500,119,145,9850,13568,69186,86197,315,298
i-0abcd123,2026-03-01T14:10:00+00:00,31.91,34.92,2.14,4.46,0,90231,172331,333,212,191,78,18267,20262,85699,23583,317,134
i-0abcd123,2026-03-01T14:15:00+00:00,36.22,55.5,3.2,2.95,1,108191,124662,199,141,175,160,15973,38647,32198,74611,496,466
i-0abcd123,2026-03-01T14:20:00+00:00,18.61,37.48,2.0,2.88,0,165342,126395,353,189,159,152,5055,47199,15721,70267,188,431
i-0abcd123,2026-03-01T14:25:00+00:00,21.24,38.04,3.27,0.46,0,175069,90329,93,54,100,100,13368,24814,56696,24874,482,147
i-0abcd123,2026-03-01T14:30:00+00:00,16.41,31.12,2.36,2.11,1,149960,71524,242,295,97,113,13570,16262,27336,96518,107,469
i-0abcd123,2026-03-01T14:35:00+00:00,34.94,59.93,2.38,4.45,0,129340,171421,421,442,93,108,12642,38970,31211,80759,224,310
i-0abcd123,2026-03-01T14:40:00+00:00,17.8,37.0,3.73,0.42,0,166560,153875,338,223,179,147,39734,6348,16219,64202,380,219
i-0abcd123,2026-03-01T14:45:00+00:00,34.56,31.52,3.41,1.17,1,83801,154857,187,278,136,164,13041,5309,19158,83561,482,263
i-0abcd123,2026-03-01T14:50:00+00:00,41.91,60.22,4.98,0.63,0,122924,98581,91,223,123,65,7160,10810,59781,52418,144,237
i-0abcd123,2026-03-01T14:55:00+00:00,33.68,32.16,4.52,2.22,0,191163,140874,58,341,169,137,10850,47841,27654,98343,128,148
i-0abcd123,2026-03-01T15:00:00+00:00,29.65,47.4,2.2,1.74,0,121996,91209,340,194,188,102,26737,9713,72606,74774,153,348
i-0abcd123,2026-03-01T15:05:00+00:00,30.16,40.76,3.68,0.41,0,97855,159300,318,223,168,170,17289,35144,76416,33884,356,177
i-0abcd123,2026-03-01T15:10:00+00:00,38.17,63.31,3.15,1.06,0,180311,153402,256,94,146,121,7229,5426,50323,51591,393,435
i-0abcd123,2026-03-01T15:15:00+00:00,32.05,60.57,1.77,0.29,1,133289,123182,234,477,96,141,26067,29678,83127,35755,276,321
i-0abcd123,2026-03-01T15:20:00+00:00,26.53,61.27,4.87,1.6,0,94116,128088,271,297,164,121,20709,41950,65341,89391,153,114
i-0abcd123,2026-03-01T15:25:00+00:00,30.07,64.8,3.85,3.0,1,138854,75819,249,270,131,127,11398,34540,41033,60548,245,258
i-0abcd123,2026-03-01T15:30:00+00:00,16.47,50.12,4.32,4.43,1,187140,126544,168,110,187,131,42737,5334,43381,18401,439,362
